"main.id","hpq_cct_mem.id","cct_mem_refno"
"400862","1","11"
"400862","2","12"
"400862","3","13"
"400865","0","12"
"400865","1","11"
"400866","0","12"
"400866","1","13"
"401375","0","3"
"401375","1","4"
"401379","0","5"
"401379","1","6"
"401379","2","4"
"401384","0","4"
"401384","1","5"
"401384","2","6"
"401384","3","7"
"401396","0","3"
"401396","1","4"
"401396","2","5"
"401407","0","3"
"401407","1","4"
"401476","0","12"
"401476","1","13"
"403142","0","2"
"403142","1","3"
"403142","2","4"
"403142","3","5"
"403147","0","2"
"403147","1","3"
"403147","2","4"
"403147","3","5"
"403683","0","2"
"403683","1","3"
"403683","2","4"
"403683","3","5"
"403819","0","3"
"403819","1","4"
"403822","0","4"
"403835","0","3"
"403835","1","4"
"403835","2","5"
"403846","0","3"
"403846","1","4"
"403846","2","5"
"403863","0","6"
"406745","0","3"
"406745","1","4"
